"Group","Indicator","Units","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02"
"All visitors by air","Purpose: Pleasure-net (%)","percent","82.9","82.5","84.5","82.9","81.9","82.4","85.3","86.8","84.2","80.2","81.0","82.4","81.4","81.8","84.8","82.9","81.4","83.4","85.5","86.3","82.4","80.7","82.2","84.2","82.7","82.5","84.6","83.5","82.3","84.1","85.4","87.6","85.1","81.8","82.6","85.2","83.8","84.0","86.1","84.4","83.0","84.5","86.5","86.5","83.5","80.2","82.9","84.8","82.6","82.9","85.6","85.2","82.4","85.9","87.0","87.5","84.7","82.6","84.2","84.7","83.4","82.9","83.3","8.8","10.3","14.4","16.3","14.6","15.8","65.7","77.3","76.5","77.4","82.7","86.5","87.0","86.7","88.3","88.7","87.2","84.6","84.3","85.0","84.2","82.4","84.9","85.5","86.1","83.3","86.8","87.2","86.1","84.2","82.7","83.0","83.6","80.8","83.5","84.1","84.6","82.6","85.2","86.0","83.5","82.0","78.2","81.0","82.2","79.8","82.1","84.4","82.2","80.4","84.1","85.3","84.1","82.8","81.0","82.8","84.1","81.8","83.0","84.5","83.6","81.1","85.4","85.9","84.5","85.8","84.8","80.5","83.6","82.8","85.0"
"All visitors by air","Purpose: Vacation (%)","percent","76.3","76.6","79.0","76.5","74.1","75.5","79.7","81.6","75.3","70.7","72.6","76.5","75.9","76.6","79.8","75.8","73.5","75.8","80.0","81.3","74.0","70.6","73.6","77.9","77.7","76.9","79.5","76.9","75.6","77.1","80.2","83.1","76.5","73.7","75.3","79.8","79.6","79.3","81.9","78.5","77.0","78.6","82.0","82.0","76.3","72.3","76.8","80.4","78.8","78.6","82.1","80.3","76.8","80.1","82.7","83.7","77.8","75.1","77.6","80.4","79.6","79.1","79.9","8.0","9.5","14.0","15.8","14.1","15.1","62.6","74.9","74.4","75.3","80.6","84.5","84.2","83.1","85.1","86.1","83.4","78.8","79.3","81.5","81.9","79.9","82.4","83.3","83.1","78.9","82.8","83.8","82.3","77.7","76.4","78.3","80.4","78.1","80.6","81.3","81.1","78.2","81.2","82.9","80.2","76.1","72.6","76.8","79.0","77.1","78.9","82.1","78.3","76.3","80.1","82.4","81.1","77.7","76.3","78.9","81.4","79.0","80.3","81.8","80.2","77.1","81.6","82.9","81.6","79.9","79.1","75.6","80.5","80.0","82.4"
"All visitors by air","Purpose: Honeymoon/Get married (%)","percent","7.6","6.8","6.5","7.3","8.6","7.6","6.2","5.8","9.9","10.3","9.0","6.5","6.1","5.9","5.5","7.8","8.7","8.3","6.2","5.6","9.3","10.9","9.3","6.9","5.6","6.2","5.6","7.1","7.4","7.7","5.8","5.1","9.5","8.9","8.0","5.9","4.8","5.3","4.8","6.6","6.6","6.6","5.2","5.2","8.0","8.6","6.8","5.0","4.3","5.0","4.1","5.5","6.2","6.4","4.8","4.3","7.6","8.3","7.2","4.8","4.3","4.3","3.9","0.9","0.9","0.5","0.7","0.7","0.9","3.7","3.0","2.6","2.6","2.8","2.6","3.5","4.5","3.8","3.3","4.6","6.8","5.9","4.1","2.9","3.0","3.1","2.6","3.6","5.2","4.6","4.0","4.5","7.4","7.2","5.3","3.8","3.2","3.5","3.3","4.1","5.0","4.6","3.7","3.8","6.7","6.4","4.7","3.7","3.3","3.7","2.8","4.4","4.7","4.5","3.4","3.5","5.7","5.3","4.6","3.1","3.2","3.2","3.1","3.9","4.6","4.4","3.4","3.4","6.3","6.1","5.4","3.4","3.2","3.2"
"All visitors by air","Purpose: Honeymoon (%)","percent","6.9","6.2","5.8","6.5","7.8","6.9","5.5","5.2","9.0","9.4","8.2","6.0","5.6","5.2","4.9","7.1","7.8","7.6","5.6","5.0","8.6","10.1","8.5","6.4","5.0","5.6","5.1","6.3","6.7","6.9","5.3","4.6","8.7","8.1","7.3","5.4","4.3","4.7","4.2","6.0","5.9","5.9","4.7","4.5","7.2","7.8","6.2","4.4","3.9","4.3","3.6","5.1","5.4","5.7","4.2","3.8","6.9","7.5","6.6","4.3","3.8","3.7","3.3","0.4","0.7","0.2","0.2","0.4","0.5","3.2","2.4","2.2","2.2","2.3","2.1","2.9","3.9","3.3","2.8","4.1","6.1","5.3","3.7","2.5","2.6","2.5","2.2","3.1","4.5","4.0","3.5","3.9","6.6","6.4","4.7","3.3","2.8","2.9","2.8","3.6","4.4","4.1","3.2","3.3","6.0","5.7","4.3","3.3","2.9","3.3","2.4","3.8","4.1","4.0","3.0","3.0","5.0","4.7","4.1","2.7","2.8","2.8","2.6","3.4","4.1","3.9","3.0","2.9","5.9","5.5","4.8","3.1","2.8","2.9"
"All visitors by air","Purpose: Get married (%)","percent","1.3","1.3","1.2","1.3","1.5","1.3","1.1","1.0","1.6","1.6","1.4","1.0","0.9","1.1","1.1","1.2","1.6","1.3","1.1","1.0","1.3","1.5","1.3","0.9","1.0","1.1","0.9","1.2","1.3","1.4","1.0","0.8","1.3","1.2","1.2","0.8","0.7","1.0","0.9","1.2","1.1","1.1","0.9","1.1","1.2","1.5","1.1","1.0","0.7","1.0","0.8","0.9","1.1","1.1","0.9","0.7","1.2","1.4","1.1","0.8","0.7","0.9","0.9","0.6","0.4","0.3","0.5","0.3","0.4","0.7","0.7","0.6","0.6","0.6","0.6","0.7","0.8","0.7","0.6","0.7","1.0","0.8","0.6","0.5","0.6","0.7","0.5","0.7","0.9","0.9","0.7","0.8","1.1","1.1","0.8","0.6","0.5","0.8","0.7","0.7","0.8","0.7","0.6","0.7","1.0","0.9","0.6","0.5","0.5","0.6","0.5","0.9","0.9","0.8","0.6","0.6","0.9","0.8","0.8","0.5","0.5","0.6","0.6","0.6","0.8","0.8","0.5","0.6","0.6","0.9","0.8","0.4","0.5","0.6"
"All visitors by air","Purpose: MCI-net (%)","percent","7.5","7.6","5.8","6.7","5.9","6.9","4.8","3.2","4.0","7.0","5.9","5.1","7.9","8.0","4.9","6.9","5.8","4.7","3.7","3.0","7.3","7.4","5.0","2.8","8.1","6.8","5.0","6.5","5.8","5.4","4.6","2.0","4.2","5.4","5.3","2.5","6.8","6.7","4.6","6.7","6.0","4.5","3.2","2.2","4.2","7.6","4.6","2.1","7.2","7.4","4.6","4.6","5.7","3.2","2.9","2.7","3.7","5.1","4.9","2.9","6.6","6.9","4.1","2.4","0.7","0.6","0.5","0.7","0.8","0.6","0.6","0.6","0.9","1.1","0.7","0.9","1.3","0.9","1.0","1.4","1.9","3.1","2.6","1.2","5.3","3.7","3.6","3.7","4.6","2.6","2.0","2.1","3.5","4.3","4.7","2.5","6.6","4.6","4.6","4.4","3.7","3.1","3.4","2.3","4.4","6.6","5.3","2.4","7.2","5.6","3.7","5.7","5.5","3.5","2.5","3.6","4.4","5.9","3.9","1.8","6.6","6.0","4.4","5.5","5.4","2.9","2.6","2.9","1.9","3.6","9.9","3.1","4.1","4.4"
"All visitors by air","ISL visit: Hawaii ISL (%)","percent","19.3","19.1","18.0","17.5","16.6","17.9","18.2","17.2","16.3","17.2","16.6","18.1","19.1","18.2","17.2","17.3","16.1","17.7","17.8","17.1","16.9","17.5","16.6","18.9","20.4","19.5","19.0","18.9","18.1","18.9","19.7","18.6","17.5","18.8","18.6","20.1","20.1","21.2","19.5","19.6","16.6","16.9","16.3","15.9","14.3","15.5","16.1","17.6","18.3","18.1","17.6","15.8","16.7","17.3","17.5","17.0","15.6","16.8","16.6","18.9","19.5","18.3","18.2","14.1","13.0","14.7","16.0","15.8","19.8","13.9","15.3","20.4","19.9","19.8","18.8","16.9","16.3","17.3","17.0","16.6","15.9","17.1","18.0","19.1","19.5","18.3","18.0","17.4","18.1","18.7","18.6","17.7","17.2","19.5","17.7","18.5","19.3","18.7","18.1","17.2","17.3","18.1","18.7","20.2","20.1","19.2","18.9","19.5","19.6","18.5","18.4","18.6","17.5","17.9","18.5","17.6","17.0","18.2","17.7","18.9","20.6","19.2","17.8","17.3","17.0","18.1","18.5","17.6","19.1","20.1","17.1","19.6","18.0","20.0"
"All visitors by air","Purpose: Conventions (%)","percent","4.4","3.7","2.8","2.5","1.9","3.9","2.9","1.8","2.3","4.4","3.0","3.3","4.8","4.0","2.3","2.3","2.4","2.0","1.6","1.2","4.9","3.7","1.8","1.2","5.5","3.2","2.5","2.8","2.1","2.6","3.0","0.8","1.8","2.9","3.0","1.1","4.2","3.3","2.2","3.4","2.8","2.3","2.0","0.8","1.9","5.3","2.1","1.0","4.5","3.9","2.7","1.4","2.5","1.3","1.5","0.9","1.9","2.9","3.1","1.2","4.4","3.6","2.3","0.4","0.1","0.1","0.0","0.1","0.3","0.2","0.3","0.2","0.3","0.4","0.2","0.3","0.7","0.4","0.4","0.6","0.7","1.5","1.3","0.6","3.7","1.8","1.8","1.6","2.0","1.4","1.1","0.9","1.9","2.8","2.4","1.3","4.6","2.3","2.1","2.0","1.4","1.2","2.1","1.0","2.7","4.8","3.4","1.2","5.2","2.8","2.1","2.7","3.4","1.9","1.3","1.7","2.4","4.0","2.0","1.0","5.0","3.8","2.5","3.3","2.8","1.3","1.3","1.3","1.0","2.6","7.6","2.3","3.1","2.7"
"All visitors by air","Purpose: Corporate meetings (%)","percent","1.3","1.3","1.3","1.4","1.2","0.7","0.7","0.6","0.7","0.9","0.8","0.5","1.3","1.3","1.0","1.5","1.1","0.7","0.6","0.5","0.9","0.9","0.9","0.6","1.2","1.4","1.1","1.2","1.4","0.7","0.6","0.6","0.9","1.0","0.9","0.5","1.1","1.2","0.8","1.1","0.9","0.6","0.6","0.5","0.8","1.0","0.8","0.5","1.3","1.2","0.9","1.3","1.0","0.6","0.7","0.7","0.8","0.9","0.8","0.7","1.1","1.3","0.8","1.0","0.5","0.3","0.4","0.4","0.3","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.5","0.5","0.8","0.8","0.4","1.1","0.9","0.9","1.1","1.2","0.7","0.5","0.6","1.0","1.0","1.9","0.5","1.3","1.1","1.0","1.2","1.0","0.6","0.5","0.5","0.8","1.0","0.9","0.5","1.3","1.3","0.8","1.3","0.9","0.6","0.6","0.6","0.9","0.8","0.8","0.4","0.9","1.2","0.9","1.0","1.1","0.6","0.6","0.6","0.4","0.4","1.4","0.2","0.5","1.0"
"All visitors by air","Purpose: Incentive (%)","percent","2.0","2.9","2.0","3.1","3.1","2.3","1.4","1.0","1.0","1.9","2.1","1.4","2.1","2.9","1.8","3.4","2.6","2.1","1.6","1.3","1.9","2.9","2.4","1.1","1.6","2.4","1.6","2.8","2.5","2.2","1.1","0.7","1.5","1.7","1.6","1.1","1.7","2.4","1.6","2.4","2.4","1.7","0.6","1.0","1.7","1.4","1.8","0.7","1.6","2.4","1.2","2.0","2.4","1.4","0.8","1.2","1.1","1.5","1.1","1.1","1.2","2.3","1.1","1.1","0.2","0.2","0.1","0.3","0.3","0.2","0.2","0.2","0.3","0.4","0.2","0.3","0.3","0.2","0.3","0.4","0.7","0.9","0.7","0.3","0.7","1.1","1.1","1.1","1.6","0.7","0.6","0.7","0.7","0.7","0.7","0.8","0.9","1.3","1.8","1.3","1.4","1.4","0.9","0.8","1.0","1.0","1.1","0.9","0.9","1.8","1.0","2.1","1.4","1.1","0.7","1.3","1.3","1.3","1.2","0.4","0.8","1.2","1.2","1.6","1.7","1.1","0.8","1.1","0.6","0.6","1.3","0.6","0.6","0.8"
